href, logoURL, Name
"./km-castrol-teams/","./km-castrol-teams/assets/teams/Castrol Rally Team.png",KM Castrol Teams
"./km-rff-swe/","./km-rff-swe/assets/RFF_Sweden.png",KM Rally For Fun Sweden
